baslik;fiyat;no;tarih;m2net;m2burut;odasayisi;binayasi;bulundugukat;katsayisi;isitma;banyo;balkon;site;siteadi;kredi;kimden;konum;aciklama;il;ilce;mahalle
"Þirinyer Merkezde Önü Açýk Ferah Satýlýk Daire";"530.000 TL";674802066;"03 Haziran 2019";165;180;3+1;"5-10 arasý";1;3;"Doðalgaz (Kombi)";2;Var;Hayýr;;Evet;"Emlak Ofisinden";38.39004740093557,27.148520708063415;"<p style=""text-align: center;""><font size=""6"" color=""#ff0000""><b>Þirinyer Merkezde Önü Açýk Ferah Satýlýk Daire,</b></font><br /></p><p style=""text-align: center;""><font size=""6"">Önü açýk ve ferah kapanma ihtimali yok, 3 oda 1 salon 180 m2, hilton banyolu, ebeveyn banyosu ile birlikte çift banyo ve çift WC &apos;li, 3 balkonlu, mutfaktaki balkonu içeri alýnmýþ, karanlýk odasý yok, ankastre mutfaklý, zemin üstü 1. kat (ara kat), 12 yýllýk deprem yönetmeliðine uygundur. </font></p><p style=""text-align: center;""><font size=""6"" color=""#0000ff""><b>Konum Bilgileri;</b></font></p><p style=""text-align: center;""><font size=""6"">* Þirinyer Pazar yerine 1 dk. (87 m),</font></p><p style=""text-align: center;""><font size=""6"">* Þirinyer Ýzban Metro duraðýna, Buca Týnaztepe Hastanesine, Þirinyer Hipodromuna, 4 dk. (350 m),</font></p><p style=""text-align: center;""><font size=""6"">* Toplu ulaþýma otobüs ve dolmuþ duraklarýna, bankalara, Þirinyer Migros &apos;a, alýþ veriþ merkezlerine, 5 dk.(400 m),</font></p><p style=""text-align: center;""><font size=""6"">* Þirinyer PTT þubesine, Þirinyer Sevgi yolu giriþine, 6 dk. (500 m),</font></p><p style=""text-align: center;""><font size=""6"">* Þirinyer Tuðsavul Ýlköðretim Okuluna, Þirinyer Ýþçievleri lambalarý giriþine, 8 dk. (650 m),</font></p><p style=""text-align: center;""><font size=""6"">* Þirinyer Vali Rahmi Bey Ýlköðretim okuluna, Hasan Ali Yücel Ortaokuluna, 10 dk. (800 m), yürüme mesafesinde &apos;dir.</font></p><p style=""text-align: center;""><font size=""6"" color=""#0000ff"">Not; Mesafe bilgileri dakika ve metre olarak Google Map &apos;ten ölçüm yapýlarak verilmiþtir.</font></p>";Ýzmir;Buca;"Ýnkýlap Mh."
"Þirinyer Uçanyol&#039;da Asansörlü 2+1 Lüks Sýfýr Satýlýk Daire";"305.000 TL";642976294;"03 Haziran 2019";95;100;2+1;;3;4;"Doðalgaz (Kombi)";2;Var;Hayýr;;Evet;"Emlak Ofisinden";38.399675662080334,27.154638020658467;"<p style=""text-align: center;""><strong><u><span style=""font-size: 18pt;color: black;background-color: rgb(255, 0, 0);"">ROYAL EMLAK</span></u></strong></p><p style=""text-align: center;""><span style=""font-size: 10.5pt;color: black;""></span></p><p style=""text-align: center;""><strong><span style=""font-size: 10.5pt;color: #0000c2;"">Þirinyer Uçanyol&apos;da Asansörlü 2+1 100 m2 Lüks Sýfýr Satýlýk Daire</span></strong></p><p style=""text-align: center;""><span style=""font-size: 10.5pt;color: black;""></span></p><p style=""text-align: center;""><strong><span style=""font-size: 10.5pt;color: #fb0007;"">DAÝRE KONUMU VE ÝÇ ÖZELLÝKLERÝ</span></strong></p><p style=""text-align: center;""><span style=""font-size: 10.5pt;color: black;""></span></p><p style=""text-align: center;""><strong><span style=""font-size: 10.0pt;color: black;"">DAÝRE ÞÝRÝNYER UÇANYOLDA MEHMET EMÝN YURDAKUL Ý.Ö.O YANINDADIR .DAÝRE GENÝÞ,FERAH VE BATI-DOÐU CEPHELÝDÝR.DAÝREDE HAZIR MUTFAK,HÝLTON BANYO,DUÞAKABÝN,EBEVEYN BANYO,PVC ISICAM,LAMÝNANT PARKE,ASANSÖR BULUNMAKTADIR.</span></strong><span style=""font-size: 10.5pt;color: black;""></span></p><p style=""text-align: center;""><strong><span style=""font-size: 10.0pt;color: red;"">&apos;EV SAHÝBÝ ÝLE KARÞILIKLI PAZARLIK&apos;</span></strong></p><p style=""text-align: center;""><strong><span style=""font-size: 10.0pt;color: red;""></span></strong></p><p style=""text-align: center;""><strong><u><span style=""font-size: 10.5pt;color: black;"">&apos;&apos;Detaylý bilgi  ve diðer ilanlarýmýz için lütfen iletiþime geçiniz.&apos;&apos;</span></u></strong></p><p style=""text-align: center;""><span style=""font-size: 10.5pt;color: black;""></span></p><p style=""text-align: center;""><strong><span style=""font-size: 10.5pt;color: blue;"">&apos;&apos;Ýlanlarýmýz her gün güncellenmektedir.&apos;&apos;</span></strong></p><p style=""text-align: center;""><span style=""font-size: 10.5pt;color: black;""></span></p><p style=""text-align: center;""><strong><span style=""font-size: 16.0pt;color: black;"">        0535 978 05 92<span>    </span>SALÝH KÜÇÜK</span></strong><span style=""font-size: 16.0pt;color: black;""></span></p><p style=""text-align: center;""><strong><span style=""font-size: 16.0pt;color: black;""><span>       </span>0532 625 64 83<span>    </span>CÝHAN ÖZLÜ</span></strong><span style=""font-size: 16.0pt;color: black;""></span></p>";Ýzmir;Buca;"Çamlýk Mh."
"BUCA ÝNÖNÜ GEDÝZ&#039;DE BAHÇELÝ ÝZBANA YAKIN SATILIK 3+1 DAÝRE ACÝL";"189.000 TL";697518947;"03 Haziran 2019";120;160;3+1;;"Bahçe Katý";3;"Doðalgaz (Kombi)";1;Var;Hayýr;;Evet;"Emlak Ofisinden";38.354575254534986,27.14453655490877;"<p style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><b><u><font size=""4"" color=""#ffffff"" style=""background-color: rgb(0, 0, 255);"">EGE LÝDER EMLAK GÜVENCESÝYLE !!</font></u></b></p><p style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><b><u><font size=""4"" color=""#ffffff"" style=""background-color: rgb(0, 0, 255);"">EN UYGUN FÝYAT GARANTÝSÝYLE !!</font></u></b></p><p style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><b><i><u><font size=""3"" style=""background-color: rgb(255, 215, 0);"">BUCA ÝNÖNÜ MH. GEDÝZ SEMTÝNDE SATILIK 3+1 BAHÇELÝ AYDINLIK VE FERAH YATIRIMLIK DAÝRE</font></u></i></b></p><p style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><b><i><u><font size=""3"" style=""background-color: rgb(255, 215, 0);"">3+1 KAPALI MUTFAKLI</font></u></i></b></p><p style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><b><i><u><font size=""3"" style=""background-color: rgb(255, 215, 0);"">GÜN BOYU AYDINLIK VE FERAH /KARANLIK VEYA KÖR CEPHE KESÝNLÝKLE YOKTUR</font></u></i></b></p><p style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><b><i><u><font size=""3"" style=""background-color: rgb(255, 215, 0);"">DAÝRENÝN ALANI 120 M2 BAHÇESÝ 40 M2 TOPLAM ALANI 160 M2</font></u></i></b></p><p style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><b><i><u><font size=""3"" style=""background-color: rgb(255, 215, 0);"">DOÐALGAZ KOMBÝ PETEKLERÝ TAKILI/KULLANIMA HAZIR</font></u></i></b></p><p style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><b><i><u><font size=""3"" style=""background-color: rgb(255, 215, 0);"">TAMAMINA KREDÝ ÝMKANI</font></u></i></b></p><p style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><b><i><u><font size=""3"" style=""background-color: rgb(255, 215, 0);"">1.SINIF ÝÞÇÝLÝK VE MALZEME</font></u></i></b></p><p style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><b><i><u><font size=""3"" style=""background-color: rgb(255, 215, 0);"">ISI VE SES YALITIMLI</font></u></i></b></p><p style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><b><i><u><font size=""3"" style=""background-color: rgb(255, 215, 0);"">SEMT GARAJI ÝZBANA,DOLMUÞ VE MÝNÝBÜSE,ESHOT ARAÇLARINA YÜRÜME MESAFESÝNDE</font></u></i></b></p><p style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><b><i><u><font size=""3"" style=""background-color: rgb(255, 215, 0);"">OKUL,ECZANE,SAÐLIK OCAÐI,PAZARYERÝ,KURUMSAL MARKET VE AVMLER,PARK,CAMÝ VB TÜM YERLER HEMEN DÝBÝNDE</font></u></i></b></p><p style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><b><i><u><font size=""3"" style=""background-color: rgb(255, 215, 0);"">OPTÝMUMA,HAVAALANI VE OTOBANA ÇOK YAKIN</font></u></i></b></p><p style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><b><i><u><font size=""3"" style=""background-color: rgb(255, 215, 0);"">900 TL KÝRA GARANTÝLÝ</font></u></i></b></p><p style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><b><i><u><font size=""3"" style=""background-color: rgb(255, 215, 0);"">TAKAS SEÇENEKLERÝNE AÇIKTIR</font></u></i></b></p><p style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><b><i><u></u></i></b></p><p style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><b><i><u><b><i><u><b><i><u><font size=""3"" style=""background-color: rgb(255, 215, 0);"">DAHA DETAYLI BÝLGÝ ÝÇÝN HER ZAMAN ARAYABÝLÝRSÝNÝZ.</font></u></i></b></u></i></b></u></i></b></p><p style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><b><i><u><b><i><u><b><i><u></u></i></b></u></i></b></u></i></b></p><p style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><b><i><u><b><i><u><b><i><u><b><i><u><b><i><u><b><i><u><b style=""font-size: medium;""><i><u><b><i><u><b><i><u><b><i><u><b><i><u><b><i><u><b><i><u><b><i><u><u><em><strong><b><u><font size=""4"" color=""#ffffff"" style=""background-color: rgb(255, 0, 0);"">*** BÝZÝ TERCÝH ETMENÝZ ÝÇÝN NEDENLER ***</font></u></b></strong></em></u></u></i></b></u></i></b></u></i></b></u></i></b></u></i></b></u></i></b></u></i></b></u></i></b></u></i></b></u></i></b></u></i></b></u></i></b></u></i></b></u></i></b><br /></p><div style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><b style=""font-size: medium;""><i><u><b><i><u><b><i><u><b><i><u><b><i><u><b><i><u><b><i><u><b><i><u><u><em><strong><b><u><font size=""4"" color=""#ffffff"" style=""background-color: rgb(255, 0, 0);"">*** KÝRALIK-SATILIK DAÝRE,ARSA,MÜSTAKÝL EV,KOMPLE BÝNA,BAÐ,BAHÇE,TARLA,DÜKKAN-ÝÞYERÝ HÝZMETLERÝNDE EN ÝYÝSÝ ***</font></u></b></strong></em></u></u></i></b></u></i></b></u></i></b></u></i></b></u></i></b></u></i></b></u></i></b></u></i></b><br />";Ýzmir;Buca;"Ýnönü Mh."
"Buca Þirinyer Hürriyet Mahallesinde Asansörlü Satýlýk Daire";"310.000 TL";697530501;"03 Haziran 2019";115;135;3+1;;3;3;"Doðalgaz (Kombi)";2;Var;Hayýr;;Evet;"Emlak Ofisinden";38.39801684130526,27.146907911358085;"<p style=""color: rgb(38, 57, 75);background-color: rgb(255, 255, 255);""><strong style=""color: rgb(38, 57, 75);""><font size=""4"">Buca Þirinyer Hürriyet Mahallesinde Asansörlü Satýlýk Daire</font></strong></p><p style=""color: rgb(38, 57, 75);background-color: rgb(255, 255, 255);""><font size=""4"">3 oda 1 salon, 135 m2, doðal gaz kombili, zemin üstü üçüncü kat çatý sorunu yok, ankastre mutfak, hilton banyolu, karanlýk odasý yok, ebeveyn banyosu ile birlikte çift banyolu ve çift WC &apos;li, vestiyerli, dolaplý, çift balkonlu, küçük odasý yok, arka cephesi tamamen açýk kapanma ihtimali kesinlikle yoktur, bu fiyata kaçýrýlmayacak fýrsat ilanýdýr.</font></p><p style=""color: rgb(38, 57, 75);background-color: rgb(255, 255, 255);""><strong style=""color: rgb(38, 57, 75);""><font size=""4"">Konum Bilgileri;</font></strong></p><ul style=""color: rgb(38, 57, 75);background-color: rgb(255, 255, 255);""><li style=""color: rgb(38, 57, 75);""><font size=""4"">Toplu ulaþýma (otobüs ve dolmuþ duraklarýna), alýþ veriþ merkezlerine, marketlere, Buca olimpik yüzme havuzuna, 3 dk. (350 m),</font></li><li style=""color: rgb(38, 57, 75);""><font size=""4"">Rüþtü Ünsal Polis okuluna, Buca Gürçeþme Anadolu Lisesine, Zübeyde Haným huzur evine, 8 dk. (700 m),</font></li><li style=""color: rgb(38, 57, 75);""><font size=""4"">Þirinyer izban metro duraðýna, Þirinyer PTT þubesine, 10 dk. (800 m),</font></li><li style=""color: rgb(38, 57, 75);""><font size=""4"">Þirinyer pazar yerine, bankalara, Þirinyer Merkeze 11 dk. (900 m) yürüme mesafesinde &apos;dir.</font></li><li style=""color: rgb(38, 57, 75);""><font size=""4"">Araç ile Konak tünelleri çýkýþý 4 dk. mesafede &apos;dir.</font></li></ul><p style=""color: rgb(38, 57, 75);background-color: rgb(255, 255, 255);""><strong style=""color: rgb(38, 57, 75);""><font size=""4"">Kayýt Sýra Nu; 5039</font></strong></p><p><font size=""4""><br /></font></p><p><br /></p>";Ýzmir;Buca;"Hürriyet Mh."
"ATAMER GAYRÝMENKUL&#039;DEN CADDE ÜSTÜ ARAKAT SÝTE ÝÇÝ 3+1 DAÝRE.";"305.000 TL";690437342;"03 Haziran 2019";130;140;3+1;"5-10 arasý";3;7;"Doðalgaz (Kombi)";2;Var;Hayýr;;Evet;"Emlak Ofisinden";38.370619483325925,27.174177691340446;"<p>ÇAMLIKULE MAHALLESÝ, YILDIZ MAHALLESÝ, BUCA KOOP MAHALLESÝ ARASINDA , CADDE ÜSTÜ ARAKAT KÖÞE ÜÇ BALKONLU ÇÝFT TUVALETLÝ KÝLERLÝ GENÝÞ FERAH SINAV KOLEJÝ KARÞISINDA , DOLMUÞ VE OTOBÜS DURAKLARI ÖNÜNDE, AVM  ATM MÝGROS A101 ,BÝM  ÞOK, ÝNAL, BÝZÝM MARKET ÇÝFTBAÐCILAR, PAZAR YERÝ ,HASTANE, CAMÝÝ, ECZANE ,OKUL, ÞARKÜTERÝ, SPOR SALONU, PÝZZACI, DÖNERCÝ, SALI PAZARI ,FIRIN ,PASTANE, KÜNCÜ ,AYNI CADDE ÜZERÝNDE , DOÐALGAZLI FULL YAPILI MASRAFSIZ ARAKAT ,ASANSÖRLÜ, SÝTE ÝÇÝNDE FIRSAT DAÝRE. </p>";Ýzmir;Buca;"Buca Koop. Mah."
"BOZBEY EMLAK&#039;TAN BUCA FIRAT MAH.124 m2 3+1 SATILIK LÜX DAÝRE";"350.000 TL";611669775;"03 Haziran 2019";124;124;3+1;;2;2;"Doðalgaz (Kombi)";1;Var;Hayýr;;Evet;"Emlak Ofisinden";38.37651882693221,27.14857365341186;"<p style=""text-align: center;""><br /></p><p><br /></p><p><br /></p><p style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><font size=""4"" style=""background-color: rgb(255, 255, 0);"">DAÝREMÝZ BUCA FIRAT MAHALLESÝNDE OLUP 2 KATLI MÜSTAKÝL BÝNANIN 2. KATINDADIR.</font></p><p style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><font size=""4"" style=""background-color: rgb(255, 255, 0);"">124 m2 3+1 OLAN DAÝREMÝZ LÜX BÝR DAÝREDÝR.</font></p><p style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><font size=""4"" style=""background-color: rgb(255, 255, 0);"">DAÝRE KONUM OLARAK ÇOK MERKEZÝ BÝR YERDEDÝR.</font></p><p style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><font size=""4"" style=""background-color: rgb(255, 255, 0);"">DOLMUÞ,OTOBÜS-<span>ÝZBAN,</span><span>SAÐLIK OCAÐI,</span><span>SEMT PAZARI,AVM LER YÜRÜME MESAFESÝ UZAKLIÐINDADIR.</span></font></p><p style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><font size=""4"" style=""background-color: rgb(255, 255, 0);"">DAÝREDE KULLANILAN TÜM MALZEMELER 1.SINIF KALÝTE MALZEMELERDÝR.</font></p><p style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><font size=""4"" style=""background-color: rgb(255, 255, 0);"">MUTFAK TAVAN SPOT AYDINLATMASI,LAMÝNAT PARKE,DOÐALGAZ KOMBÝ,DUÞAKABÝN,MERKEZÝ </font></p><p style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><font size=""4"" style=""background-color: rgb(255, 255, 0);"">UYDU SÝSTEMÝ</font></p><p style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><font size=""4"" style=""background-color: rgb(255, 255, 0);"">VS VS ..</font></p><p style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><font size=""4"" style=""background-color: rgb(255, 255, 0);"">DEPREM YÖNETMELÝÐÝNE UYGUN OLARAK ÝNÞA EDÝLEN DAÝREMÝZ KONUT KREDÝSÝNE UYGUNDUR.</font></p><p style=""color: rgb(0, 0, 0);font-size: 14px;text-align: center;""><font size=""4"" style=""background-color: rgb(255, 255, 0);"">DETAYLI BÝLGÝ ÝÇÝN BÝZÝMLE ÝLETÝÞÝME GEÇÝNÝZ.</font></p><p><br /></p><p><br /></p><p style=""text-align: center;""></p>";Ýzmir;Buca;"Fýrat Mh."
"Vergi Dairesi caddesinde,uçanyola yakýn,tadilatlý satýlýk daire";"580.000 TL";697510337;"03 Haziran 2019";95;110;3+1;"26-30 arasý";2;7;"Doðalgaz (Kombi)";2;Var;Hayýr;;Evet;Sahibinden;38.39414718867629,27.156848274171352;"<p>Full tadilat yapýlmýþtýr. <br />Yatak odasýnda ve yan odada tavana kadar giyinme dolabý mevcuttur.<br />Mutfakta ankastre ocak,davlumbaz ve fýrýn mevcuttur.<br />Giriþ koridorda geniþ bir depolama alaný saðlayan gömme dolap ve ayakkabýlýk mevcuttur.</p>";Ýzmir;Buca;"Yiðitler Mh."
"Buca Kozaðaçta Satýlýk Masrafsýz Daire";"215.000 TL";697524412;"03 Haziran 2019";106;110;2+1;"5-10 arasý";1;3;"Doðalgaz (Kombi)";1;Var;Hayýr;;Evet;"Emlak Ofisinden";38.37670983197621,27.172091070373654;"<strong style=""color: rgb(38, 57, 75);font-size: 14px;""><font size=""4"">Buca Kozaðaçta Satýlýk Masrafsýz Daire</font></strong><br /><div><strong style=""color: rgb(38, 57, 75);font-size: 14px;""><font size=""4""><br /></font></strong>";Ýzmir;Buca;"Kozaðaç Mh."
"ÞÝRÝNYER LALELÝ MAH ORTAKAT 130 M2 3+1 BALKONLU 210.000 TL";"210.000 TL";624164907;"03 Haziran 2019";130;130;3+1;"16-20 arasý";3;4;Soba;1;Var;Hayýr;;Hayýr;"Emlak Ofisinden";38.39659877676635,27.15062510383109;"<p><font size=""6"">ÞÝRÝNYER    LALELÝ  MAH    LALELÝ     MUHTARLIGINA    YAKIN   OLAN  DAÝREMÝZ   4KATLI  BÝNANIN    <font color=""#ff0000"">3.KATI</font>  <font color=""#ff0000""> 3+1</font>  <font color=""#ff0000"">130 M2</font>  ÇÝFT   CEPHELÝ  MERKEZÝ    YERDE   KALSÝK  BÝR  DAÝRE   ULAÞIM  SORUNU   YOK  METROYA  YÜRÜME   MESAFESÝNDE    ÞÝRÝNYER  PAZARINA  SEVGÝ  YOLUNA  ÞÝRÝNYER  PAZARINA  HEPSÝNE   YÜRÜME   MESAFESÝNDE   SAGLAM  EMLAK  FEVZÝ  ERENDE  <font color=""#ff0000"">210.000 TL</font> SATILIK   </font></p><p><br /></p>";Ýzmir;Buca;"Laleli Mah."
